date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right
731554,619.261,585.5497,675.9437,592.6688,332.655,849.4303,400.8742,755.4603,612.4558,390.613,857.263,741.8949
731555,137.3326,132.0067,71.6568,86.5145,46.3931,250.9559,279.7323,20.8476,145.8075,-158.8977,119.7732,49.8224
731556,-14.2905,-19.5435,-94.7183,133.1848,10.7787,391.9399,-133.1536,-75.3939,-9.7911,-380.6732,79.1984,28.655
731559,319.5232,275.7298,310.7453,338.2912,227.2896,537.0803,52.6543,320.9854,382.5123,247.5821,563.3262,367.0344
731560,40.2839,36.9831,21.4301,11.4399,-68.3419,-153.1393,-15.8468,-35.6735,99.6782,42.2232,-248.8852,-34.6491
731561,283.2506,249.7184,313.0551,351.1756,94.0636,239.3771,342.2467,203.7205,287.4648,350.5672,441.7679,415.5921
731562,1006.6443,954.3309,1035.2302,1062.6451,1283.9866,1611.6211,890.2814,861.2079,969.3667,287.2789,1307.0226,1247.8204
731563,602.937,559.062,746.8014,812.7502,461.0978,909.0574,478.4414,610.9612,574.1995,583.2081,653.7165,714.1218
731566,-165.1715,-167.3456,-91.7479,-182.9741,-301.5826,-468.5189,-104.0986,-132.068,-123.2732,87.6478,-18.7044,-17.957
731567,125.457,138.1919,120.3858,-146.4663,525.2587,83.4172,246.4941,124.9028,73.7709,212.0081,291.0373,-3.89
731568,-407.8018,-419.4983,-303.7539,-352.4274,-487.5387,-557.54,-401.2262,-394.1594,-459.3287,-129.9817,-532.606,-228.1134
731569,-111.6095,-109.0039,-79.202,-79.9756,-48.6755,-150.5072,-28.8183,-85.1809,-352.4188,-39.54,-144.4569,-41.1129
731570,66.2383,61.9208,21.995,77.7242,80.6285,-4.4637,-70.5647,64.9746,66.4503,120.3346,75.4888,-15.639
731573,-229.0997,-222.9895,-185.6625,-171.8969,-382.4832,-383.5197,-239.6218,-234.9724,-218.7506,-82.2919,-177.7564,-135.9389
731574,850.1852,839.2797,855.3567,810.0296,896.8826,834.0158,732.452,809.6391,846.4247,830.4124,869.2453,808.7569
731575,131.9748,127.3452,122.3806,103.0636,136.0905,40.6245,184.8045,130.409,131.6074,139.895,146.7316,79.2218
731576,336.2404,309.5092,361.6948,343.4683,310.4847,414.9977,-63.7558,394.6685,333.0488,530.2584,681.793,323.6996
731577,855.9379,850.1576,741.258,733.3187,757.9294,981.6802,458.3455,904.8694,837.2442,897.541,862.5867,629.0608
731580,1408.8483,1300.4532,1550.2619,1344.0716,1411.8205,1244.6008,1141.7627,1366.0376,1387.6941,1432.5887,1625.6756,1550.0197
731581,149.6772,127.9356,232.6037,134.8666,119.8552,188.4885,-45.2661,159.477,148.8335,184.0206,300.0108,216.0728
731582,-207.3108,-196.0784,-231.8433,-171.4611,-196.4974,-191.5385,-236.8767,-207.5035,-204.0058,-213.0171,-213.6887,-220.6239
731583,-2348.8741,-2314.3079,-2532.6886,-2150.4044,-2423.142,-2214.8728,-2090.5124,-2281.0655,-2476.6955,-2409.6976,-2462.0482,-2415.1076
731584,1550.5486,1485.5748,1632.8642,1322.959,1464.6981,1747.9018,1031.8226,1538.6114,1578.3153,1588.7562,1424.0489,1546.1817
731587,1706.0242,1675.4471,1981.9016,1434.3568,1829.674,1627.5178,1269.1903,1643.1708,1702.1246,1749.6821,1374.0837,1790.0295
731588,-1173.5221,-1173.2098,-1280.7345,-1196.9323,-1024.6623,-1166.4338,-1204.2442,-1159.3405,-907.6257,-1341.9245,-1307.4079,-1004.8395
731589,2311.5369,2315.299,2023.4977,2299.0871,2123.4161,2507.5324,1842.9271,2261.1282,2296.9054,2308.0347,2486.521,2045.4519
