Date,Price,Open,High,Low,Change %
2003/3/18,1.5665,1.5696,1.5709,1.5604,-0.20%
2003/3/19,1.5631,1.5659,1.568,1.5539,-0.22%
2003/3/20,1.5663,1.5633,1.5701,1.5623,0.20%
2003/3/21,1.563,1.5666,1.5698,1.559,-0.21%
2003/3/24,1.5737,1.5665,1.5777,1.5643,0.68%
2003/3/25,1.5728,1.5747,1.5798,1.5686,-0.06%
2003/3/26,1.5745,1.5728,1.5772,1.5699,0.11%
2003/3/27,1.5646,1.5741,1.5791,1.5623,-0.63%
2003/3/28,1.5733,1.5653,1.5785,1.5607,0.56%
2003/3/31,1.5832,1.5746,1.5838,1.5732,0.63%
2003/4/1,1.5782,1.5827,1.5836,1.5719,-0.32%
2003/4/2,1.5675,1.5777,1.5817,1.5645,-0.68%
2003/4/3,1.5718,1.5675,1.5739,1.5589,0.27%
2003/4/4,1.561,1.5726,1.5732,1.5589,-0.69%
2003/4/7,1.5543,1.5553,1.5593,1.5461,-0.43%
2003/4/8,1.5543,1.5556,1.5562,1.5488,0.00%
2003/4/9,1.5629,1.5543,1.5644,1.5499,0.55%
2003/4/10,1.5726,1.5648,1.5743,1.5623,0.62%
2003/4/11,1.572,1.5724,1.5736,1.5659,-0.04%
2003/4/14,1.5741,1.5711,1.577,1.5682,0.13%
2003/4/15,1.5703,1.5716,1.5745,1.5671,-0.24%
2003/4/16,1.5806,1.5705,1.5808,1.5688,0.66%
2003/4/17,1.5707,1.5802,1.5846,1.5701,-0.63%
2003/4/18,1.5705,1.5713,1.5758,1.5701,-0.01%
2003/4/21,1.5624,1.5738,1.5756,1.5588,-0.52%
2003/4/22,1.5776,1.5622,1.5807,1.5613,0.97%
2003/4/23,1.5865,1.5774,1.5884,1.5716,0.56%
2003/4/24,1.5934,1.5842,1.5981,1.5835,0.43%
2003/4/25,1.5913,1.5928,1.5959,1.5865,-0.13%
2003/4/28,1.5884,1.5932,1.5987,1.5873,-0.18%
2003/4/29,1.5947,1.5886,1.5949,1.5861,0.40%
2003/4/30,1.5987,1.5938,1.6037,1.5911,0.25%
2003/5/1,1.6113,1.5991,1.6138,1.5976,0.79%
2003/5/2,1.6037,1.6111,1.612,1.6004,-0.47%
2003/5/5,1.6067,1.6035,1.6075,1.6018,0.19%
2003/5/6,1.6158,1.6057,1.6189,1.6053,0.57%
2003/5/7,1.5966,1.6155,1.6179,1.5903,-1.19%
2003/5/8,1.6018,1.5968,1.6082,1.5922,0.33%
2003/5/9,1.6052,1.6016,1.6096,1.6006,0.21%
2003/5/12,1.6105,1.6079,1.6149,1.6042,0.33%
2003/5/13,1.6088,1.6107,1.6117,1.6042,-0.11%
2003/5/14,1.6179,1.6097,1.6218,1.606,0.57%
2003/5/15,1.6218,1.6168,1.628,1.6128,0.24%
2003/5/16,1.6216,1.621,1.6298,1.6178,-0.01%
2003/5/19,1.6328,1.6279,1.6383,1.6252,0.69%
2003/5/20,1.6408,1.6338,1.6435,1.6307,0.49%
2003/5/21,1.6336,1.6401,1.6471,1.6336,-0.44%
2003/5/22,1.6341,1.6344,1.6397,1.6313,0.03%
2003/5/23,1.6357,1.6336,1.6452,1.6311,0.10%
2003/5/26,1.6376,1.6336,1.642,1.633,0.12%
2003/5/27,1.6383,1.6389,1.6474,1.6373,0.04%
2003/5/28,1.6401,1.6391,1.6304,1.6401,0.11%
2003/5/29,1.6543,1.6392,1.6549,1.632,0.87%
2003/5/30,1.6364,1.6541,1.6547,1.6323,-1.08%
2003/6/2,1.6374,1.6254,1.6399,1.6254,0.06%
2003/6/3,1.6288,1.637,1.6427,1.6237,-0.53%
2003/6/4,1.6306,1.6293,1.6348,1.6275,0.11%
2003/6/5,1.6603,1.631,1.6622,1.6287,1.82%
2003/6/6,1.6623,1.6603,1.6712,1.6543,0.12%
2003/6/9,1.6452,1.6587,1.6656,1.6422,-1.03%
2003/6/10,1.6518,1.6458,1.6579,1.6421,0.40%
2003/6/11,1.666,1.6513,1.6702,1.65,0.86%
2003/6/12,1.6691,1.6662,1.6793,1.6658,0.19%
2003/6/13,1.6722,1.6677,1.6753,1.6635,0.19%
2003/6/16,1.6772,1.6745,1.6887,1.6713,0.30%
2003/6/17,1.6856,1.6769,1.6907,1.6766,0.50%
2003/6/18,1.6782,1.6843,1.6864,1.6751,-0.44%
2003/6/19,1.6793,1.6797,1.6808,1.6688,0.07%
2003/6/20,1.6643,1.6791,1.6823,1.6585,-0.89%
2003/6/23,1.6679,1.6603,1.6698,1.6555,0.22%
