date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
736439,550368355.1262,540899580.2248,841549554.4038,531946910.2153,553014176.9251,522369184.3487,557336011.3586,497762345.9764,575117539.2944,518787696.6129,490154339.78
736440,547569906.3448,538200459.1441,842408659.169,529295588.3547,550729243.6236,519654432.272,554954008.5277,495191544.9108,572291100.9366,516113583.2765,487570180.0643
736441,537206714.6493,527961940.8132,827116900.0563,519117569.7856,541441865.1624,509378338.7205,545798340.9861,485826514.0834,561185892.1895,506335435.6247,478032302.9532
736442,532280408.9318,523090515.9985,820659926.8409,514830078.1682,536826785.1736,504522355.6789,542276879.9137,481164313.7973,556140444.5604,501928139.4306,473201307.4866
736444,532132684.4983,522922250.0375,818931181.2584,514662864.6648,536665481.4554,504301916.2205,542229850.5519,481011826.1018,556007694.7728,501789773.1525,473079503.1582
736445,532310372.0151,523068439.4363,819366535.2485,514657398.5869,536580297.296,504398059.2098,541934438.5816,481289422.8459,556041913.05,501649826.1934,472997179.4685
736446,534517036.5987,525225288.6197,818794361.3565,516537382.1517,538934264.7478,506331903.441,543645798.8255,483449764.3025,558296589.5435,503964006.5186,475061537.5197
736447,535860178.7685,526536556.7959,822249966.8675,517961305.2391,540434304.8149,508569752.3513,545333143.2011,484618655.1531,559885854.1625,505213239.3436,476127434.218
736448,544755505.2732,535512631.2427,834987184.7838,526699239.1219,548923167.5718,518583114.6546,553073816.2047,492673346.9657,569513433.1731,513472041.9665,484378315.7813
736449,549215221.4091,540061341.4457,837061370.4203,530949346.9336,552843381.9674,524096851.0655,557332593.2548,496728057.8359,574533865.6749,517053801.6821,488779636.6195
736452,551939175.2822,542777390.3384,839981097.6426,533859987.3805,555222547.8137,526934567.8737,559673568.7701,499213433.2756,577203712.2412,519644097.087,491332359.7311
736453,537966824.0439,528736825.6176,820943317.5293,520072312.5435,541891409.278,511532146.3674,547157988.7278,486323846.1664,562149568.553,506200097.4487,478262244.5208
736454,529333922.4902,519864331.8468,801902877.116,511347067.3393,534085638.3836,502513924.9074,539851812.8034,478321115.2742,552850441.3592,497878108.1069,470056549.8469
736455,528460861.8086,518899658.9753,800044533.0083,510049557.1658,533486337.7897,501428708.5512,538951805.4241,477387834.7714,552063687.1639,497036636.601,469051251.3851
736456,529077073.9574,519456233.7493,800331846.8154,510475251.6545,533830490.5449,501809996.8032,539542661.7622,477857786.9068,552725108.4113,497447317.0836,469499833.1134
736459,521952938.9637,512721534.1326,792834965.3609,503780766.7858,527772495.1228,494947753.19,534042773.5939,471384758.427,545196960.7195,491359228.4581,462905850.8604
736460,522139630.2391,512870662.616,790294257.3786,503824422.6119,527718761.0882,494616529.6368,533742412.9214,471561046.0856,544920331.1109,491262540.7682,462968122.5229
736461,525040837.0463,515910350.0541,794880971.2069,506936446.8269,530950238.5395,498540394.8886,536280018.9705,474327955.5697,547894276.2638,494100859.8742,465963043.7668
736462,521380187.8512,512269419.7513,792093638.1365,502989194.7343,527658852.8009,494272575.6643,532911184.1765,470995313.5041,544050680.0058,491154375.5525,462159651.7729
736463,515876083.591,506715724.395,785442234.8398,497396916.9011,522073266.7066,487801460.4492,529269867.7256,465961218.3478,538302922.4542,485996811.1827,455912053.7459
736466,514715508.3372,505486401.2969,784066086.75,496127008.3462,520467720.6371,485668559.2534,527229388.6696,465059076.1235,536988646.9708,484884428.1724,454986174.1132
736467,515581007.7052,506338221.1338,785716294.1073,497020057.6638,521476108.8306,486772370.3876,528452983.2894,465766418.1034,537534925.7913,485564550.1037,455736999.809
736468,510743467.9082,501520294.5041,778870917.7805,492645152.6095,517263876.0474,481558507.3518,526897978.6835,461064705.6684,533100076.7992,481549570.0227,450512524.1784
736469,509363670.987,500055230.474,775224355.2298,491160018.3273,515709169.9765,479554317.0249,525504497.7218,459755836.3075,531511299.1198,480518375.6341,449094209.4234
736470,509915987.9514,500571372.4207,775767468.6327,491599244.1797,516134300.1226,480357576.5783,525225376.803,460515183.6583,531817784.0312,481082131.7946,449668816.5992
736473,509725869.301,500420998.0546,775161563.6181,491248959.0565,515788466.7245,479704509.9055,525558952.8104,460174824.1253,531776351.0761,480986456.6897,449408441.5355
736474,509602213.0021,500265675.5031,772890422.6375,491418468.6039,515978476.5877,479048786.3516,526508928.485,459834607.5541,532416467.0782,480783641.985,449104308.4935
736475,509300251.7084,499975991.15,773856223.8669,491131047.523,515752169.0917,479014994.8846,525270177.4556,460495562.2622,531303548.9622,480486754.6297,448895444.3019
736476,509257061.4326,499944379.1321,775228384.1911,491010499.2728,515628457.0184,479366228.9021,524173419.4231,461346275.2065,530370610.6815,480394982.7025,448988933.252
736477,508864481.3079,499525937.9436,774965106.0093,490826315.278,515391651.6457,478556738.8023,525385765.5175,460528041.754,531043653.5796,480038294.8611,448391194.0086
736480,508525957.4182,499214621.4362,772270332.4864,490589329.84,515179391.5198,478358010.1651,525518247.975,460002257.3571,531466056.2353,479676806.333,448067116.343
736481,507664874.7471,498368817.0785,770824724.865,489289869.028,514159902.0335,476749484.6194,524743653.1293,459239326.0208,530629287.3987,479117015.4002,447099105.5529
736482,506597274.5696,497344174.0448,768584736.3171,488226697.7205,512902101.7353,475079502.1329,522519065.523,458822206.0583,529526665.2255,478100221.5323,446386837.0814
736483,507083299.5275,497820610.7986,769202117.6809,488750368.1961,513457901.9603,476683997.3676,522498953.3774,459425581.4819,530066843.3117,478568882.0031,446890919.7789
